step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
1.0,0.058,0.057,0.054,0.048,0.053
2.0,0.049,0.042,0.082,0.068,0.05
3.0,0.045,0.049,0.107,0.052,0.056
4.0,0.05,0.061,0.121,0.043,0.045
5.0,0.047,0.046,0.137,0.065,0.059
6.0,0.052,0.051,0.144,0.056,0.042
7.0,0.044,0.071,0.146,0.05,0.052
8.0,0.059,0.063,0.162,0.055,0.063
9.0,0.05,0.067,0.177,0.052,0.062
10.0,0.065,0.068,0.204,0.056,0.066
11.0,0.043,0.062,0.207,0.068,0.078
12.0,0.035,0.069,0.213,0.077,0.08
13.0,0.065,0.076,0.214,0.081,0.094
14.0,0.058,0.094,0.233,0.085,0.091
15.0,0.053,0.076,0.239,0.092,0.092
16.0,0.038,0.101,0.253,0.102,0.101
17.0,0.048,0.095,0.253,0.103,0.122
18.0,0.049,0.1,0.256,0.106,0.126
19.0,0.042,0.082,0.258,0.119,0.129
20.0,0.05,0.107,0.267,0.131,0.131
21.0,0.105,0.09,0.28,0.142,0.14
22.0,0.103,0.106,0.292,0.145,0.153
23.0,0.105,0.099,0.294,0.145,0.156
24.0,0.104,0.122,0.295,0.145,0.164
25.0,0.106,0.121,0.308,0.148,0.175
26.0,0.101,0.109,0.32,0.155,0.178
27.0,0.083,0.12,0.328,0.166,0.187
28.0,0.071,0.109,0.333,0.17,0.186
29.0,0.083,0.14,0.345,0.175,0.19
30.0,0.051,0.133,0.358,0.177,0.2
31.0,0.035,0.143,0.363,0.185,0.213
32.0,0.017,0.119,0.371,0.19,0.218
33.0,0.006,0.166,0.372,0.189,0.223
34.0,0.01,0.135,0.382,0.202,0.223
35.0,0.005,0.146,0.383,0.214,0.229
36.0,0.005,0.157,0.382,0.221,0.232
37.0,0.003,0.155,0.381,0.218,0.243
38.0,0.005,0.166,0.389,0.221,0.251
39.0,0.002,0.169,0.39,0.226,0.261
40.0,0.0,0.181,0.391,0.237,0.263
41.0,0.162,0.176,0.391,0.237,0.275
42.0,0.146,0.2,0.393,0.243,0.273
43.0,0.152,0.195,0.399,0.249,0.28
44.0,0.109,0.21,0.399,0.253,0.288
45.0,0.11,0.194,0.408,0.257,0.298
46.0,0.094,0.221,0.412,0.265,0.319
47.0,0.06,0.211,0.407,0.278,0.326
48.0,0.052,0.199,0.411,0.282,0.343
49.0,0.024,0.205,0.412,0.289,0.349
50.0,0.022,0.231,0.416,0.296,0.354
51.0,0.017,0.246,0.42,0.305,0.36
52.0,0.039,0.235,0.425,0.311,0.362
53.0,0.066,0.252,0.424,0.314,0.363
54.0,0.093,0.249,0.432,0.32,0.37
55.0,0.115,0.241,0.436,0.33,0.377
56.0,0.142,0.261,0.441,0.337,0.38
57.0,0.141,0.267,0.443,0.342,0.381
58.0,0.113,0.26,0.446,0.343,0.388
59.0,0.131,0.26,0.453,0.347,0.393
60.0,0.089,0.286,0.461,0.349,0.402
61.0,0.104,0.268,0.467,0.347,0.407
62.0,0.113,0.274,0.475,0.35,0.411
63.0,0.104,0.286,0.482,0.354,0.415
64.0,0.094,0.292,0.483,0.346,0.423
65.0,0.093,0.303,0.488,0.361,0.431
66.0,0.094,0.302,0.486,0.377,0.434
67.0,0.115,0.293,0.488,0.387,0.442
68.0,0.1,0.32,0.491,0.388,0.447
69.0,0.08,0.323,0.492,0.396,0.449
70.0,0.086,0.295,0.499,0.403,0.455
71.0,0.084,0.313,0.503,0.405,0.457
72.0,0.075,0.343,0.509,0.414,0.468
73.0,0.11,0.326,0.512,0.425,0.482
74.0,0.096,0.344,0.522,0.431,0.484
75.0,0.1,0.331,0.521,0.434,0.481
76.0,0.096,0.326,0.52,0.439,0.485
77.0,0.118,0.342,0.515,0.439,0.486
78.0,0.113,0.368,0.515,0.431,0.486
79.0,0.097,0.333,0.522,0.434,0.493
80.0,0.109,0.348,0.521,0.431,0.499
81.0,0.094,0.366,0.524,0.435,0.496
82.0,0.104,0.369,0.522,0.438,0.504
83.0,0.118,0.369,0.522,0.446,0.517
84.0,0.102,0.36,0.528,0.453,0.522
85.0,0.107,0.388,0.53,0.451,0.527
86.0,0.101,0.357,0.531,0.452,0.532
87.0,0.105,0.376,0.545,0.438,0.533
88.0,0.113,0.375,0.548,0.439,0.539
89.0,0.108,0.386,0.55,0.433,0.544
90.0,0.106,0.379,0.555,0.435,0.547
91.0,0.094,0.404,0.555,0.441,0.549
92.0,0.103,0.392,0.556,0.443,0.553
93.0,0.116,0.385,0.558,0.437,0.559
94.0,0.122,0.399,0.564,0.445,0.56
95.0,0.116,0.424,0.572,0.441,0.56
96.0,0.107,0.401,0.577,0.445,0.559
97.0,0.104,0.391,0.579,0.444,0.564
98.0,0.11,0.423,0.581,0.445,0.563
99.0,0.105,0.412,0.585,0.447,0.566
100.0,0.114,0.422,0.59,0.451,0.572
101.0,0.118,0.414,0.591,0.455,0.574
102.0,0.129,0.443,0.589,0.468,0.579
103.0,0.118,0.444,0.59,0.461,0.579
104.0,0.11,0.435,0.589,0.456,0.581
105.0,0.123,0.46,0.587,0.46,0.581
106.0,0.114,0.449,0.592,0.449,0.578
107.0,0.122,0.432,0.591,0.448,0.577
108.0,0.112,0.433,0.593,0.444,0.583
109.0,0.117,0.424,0.597,0.438,0.583
110.0,0.111,0.463,0.601,0.44,0.584
111.0,0.131,0.446,0.603,0.445,0.588
112.0,0.12,0.456,0.605,0.442,0.59
113.0,0.117,0.443,0.605,0.446,0.592
114.0,0.116,0.464,0.606,0.451,0.594
115.0,0.124,0.461,0.608,0.449,0.587
116.0,0.125,0.476,0.616,0.451,0.591
117.0,0.122,0.475,0.613,0.458,0.593
118.0,0.126,0.506,0.616,0.459,0.596
119.0,0.134,0.463,0.617,0.455,0.596
120.0,0.118,0.467,0.616,0.46,0.598
121.0,0.143,0.476,0.616,0.463,0.603
122.0,0.136,0.48,0.618,0.465,0.602
123.0,0.125,0.468,0.617,0.473,0.601
124.0,0.15,0.478,0.625,0.475,0.602
125.0,0.119,0.488,0.624,0.481,0.602
126.0,0.122,0.466,0.626,0.48,0.601
127.0,0.139,0.472,0.63,0.471,0.61
128.0,0.119,0.48,0.632,0.468,0.607
129.0,0.134,0.471,0.633,0.466,0.609
130.0,0.151,0.503,0.636,0.464,0.615
131.0,0.12,0.488,0.633,0.468,0.616
132.0,0.143,0.478,0.633,0.469,0.622
133.0,0.13,0.496,0.631,0.472,0.63
134.0,0.124,0.501,0.636,0.471,0.635
135.0,0.139,0.504,0.636,0.474,0.637
136.0,0.136,0.471,0.641,0.468,0.637
137.0,0.121,0.511,0.644,0.464,0.632
138.0,0.127,0.479,0.646,0.468,0.632
139.0,0.137,0.487,0.645,0.461,0.63
140.0,0.14,0.497,0.652,0.465,0.636
141.0,0.13,0.502,0.649,0.472,0.637
142.0,0.123,0.491,0.65,0.47,0.642
143.0,0.139,0.524,0.651,0.473,0.643
144.0,0.14,0.508,0.65,0.473,0.646
145.0,0.124,0.493,0.653,0.475,0.648
146.0,0.128,0.514,0.653,0.48,0.653
147.0,0.134,0.506,0.659,0.48,0.653
148.0,0.127,0.517,0.661,0.478,0.654
149.0,0.15,0.509,0.665,0.475,0.655
150.0,0.124,0.522,0.664,0.474,0.66
151.0,0.126,0.524,0.669,0.474,0.66
152.0,0.133,0.519,0.668,0.48,0.66
153.0,0.137,0.529,0.675,0.478,0.661
154.0,0.13,0.513,0.674,0.486,0.663
155.0,0.127,0.537,0.671,0.482,0.664
156.0,0.119,0.539,0.668,0.48,0.669
157.0,0.152,0.544,0.667,0.475,0.671
158.0,0.135,0.526,0.671,0.474,0.673
159.0,0.133,0.547,0.671,0.465,0.672
160.0,0.108,0.542,0.667,0.455,0.67
161.0,0.128,0.536,0.667,0.459,0.671
162.0,0.135,0.541,0.671,0.473,0.67
163.0,0.083,0.566,0.673,0.47,0.666
164.0,0.13,0.533,0.673,0.468,0.668
165.0,0.125,0.537,0.666,0.47,0.671
166.0,0.109,0.554,0.665,0.476,0.671
167.0,0.119,0.552,0.665,0.474,0.675
168.0,0.125,0.559,0.664,0.48,0.671
169.0,0.118,0.551,0.665,0.471,0.666
170.0,0.107,0.536,0.672,0.478,0.667
171.0,0.118,0.54,0.677,0.484,0.672
172.0,0.103,0.561,0.68,0.475,0.672
173.0,0.128,0.559,0.679,0.477,0.671
174.0,0.125,0.565,0.677,0.48,0.67
175.0,0.102,0.535,0.679,0.473,0.673
176.0,0.103,0.556,0.683,0.47,0.668
177.0,0.107,0.567,0.687,0.472,0.669
178.0,0.115,0.548,0.69,0.471,0.672
179.0,0.122,0.564,0.689,0.476,0.675
180.0,0.127,0.562,0.688,0.473,0.676
181.0,0.098,0.572,0.688,0.472,0.679
182.0,0.087,0.566,0.687,0.477,0.685
183.0,0.101,0.579,0.692,0.473,0.689
184.0,0.102,0.567,0.692,0.472,0.69
185.0,0.107,0.555,0.694,0.472,0.693
186.0,0.119,0.566,0.699,0.473,0.695
187.0,0.092,0.574,0.699,0.478,0.697
188.0,0.088,0.582,0.702,0.477,0.696
189.0,0.092,0.574,0.698,0.48,0.692
190.0,0.094,0.553,0.695,0.483,0.694
191.0,0.088,0.563,0.693,0.479,0.695
192.0,0.088,0.567,0.694,0.47,0.695
193.0,0.081,0.595,0.695,0.469,0.696
194.0,0.091,0.561,0.697,0.483,0.7
195.0,0.076,0.579,0.697,0.477,0.697
196.0,0.08,0.581,0.698,0.479,0.7
197.0,0.088,0.597,0.698,0.484,0.702
198.0,0.092,0.581,0.694,0.483,0.708
199.0,0.079,0.605,0.694,0.488,0.708
200.0,0.083,0.562,0.696,0.49,0.71
