step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
1.0,0.058,0.057,0.054,0.048,0.053
101.0,0.118,0.414,0.591,0.455,0.574
201.0,0.074,0.571,0.692,0.482,0.71
301.0,0.141,0.656,0.758,0.571,0.745
401.0,0.118,0.687,0.782,0.607,0.792
501.0,0.172,0.735,0.811,0.664,0.812
601.0,0.171,0.754,0.83,0.716,0.839
701.0,0.191,0.779,0.838,0.739,0.841
801.0,0.224,0.782,0.856,0.757,0.847
901.0,0.237,0.802,0.862,0.763,0.855
1001.0,0.249,0.812,0.868,0.798,0.869
1101.0,0.248,0.803,0.869,0.81,0.869
1201.0,0.28,0.824,0.877,0.805,0.868
1301.0,0.303,0.838,0.894,0.826,0.872
1401.0,0.33,0.836,0.896,0.832,0.875
1501.0,0.345,0.83,0.899,0.846,0.873
1601.0,0.339,0.852,0.908,0.855,0.884
1701.0,0.37,0.858,0.911,0.86,0.884
1801.0,0.424,0.848,0.911,0.869,0.889
1901.0,0.393,0.854,0.917,0.861,0.89
2001.0,0.416,0.864,0.921,0.866,0.884
2101.0,0.457,0.863,0.923,0.868,0.891
2201.0,0.449,0.87,0.925,0.872,0.894
2301.0,0.451,0.865,0.925,0.885,0.901
2401.0,0.471,0.869,0.927,0.881,0.902
2501.0,0.504,0.881,0.932,0.879,0.897
2601.0,0.519,0.884,0.93,0.888,0.898
2701.0,0.499,0.884,0.93,0.883,0.899
2801.0,0.524,0.877,0.931,0.892,0.9
2901.0,0.548,0.892,0.933,0.894,0.904
3001.0,0.529,0.894,0.934,0.894,0.902
3101.0,0.551,0.904,0.934,0.9,0.91
3201.0,0.556,0.899,0.937,0.904,0.906
3301.0,0.54,0.891,0.941,0.899,0.901
3401.0,0.558,0.902,0.94,0.903,0.897
3501.0,0.545,0.905,0.939,0.895,0.889
3601.0,0.59,0.907,0.94,0.9,0.893
3701.0,0.603,0.901,0.939,0.903,0.899
3801.0,0.607,0.905,0.938,0.899,0.902
3901.0,0.595,0.901,0.942,0.908,0.907
4001.0,0.648,0.911,0.942,0.904,0.908
4101.0,0.633,0.917,0.942,0.905,0.91
4201.0,0.648,0.91,0.941,0.913,0.911
4301.0,0.663,0.91,0.942,0.916,0.907
4401.0,0.65,0.905,0.948,0.907,0.907
4501.0,0.652,0.91,0.947,0.907,0.904
4601.0,0.674,0.918,0.952,0.906,0.913
4701.0,0.664,0.916,0.949,0.914,0.911
4801.0,0.649,0.913,0.947,0.921,0.903
4901.0,0.66,0.916,0.949,0.908,0.91
5001.0,0.668,0.912,0.951,0.909,0.906
5101.0,0.692,0.918,0.953,0.918,0.912
5201.0,0.699,0.92,0.955,0.923,0.91
5301.0,0.687,0.924,0.954,0.916,0.906
5401.0,0.7,0.921,0.95,0.918,0.902
5501.0,0.701,0.927,0.956,0.918,0.909
5601.0,0.71,0.922,0.952,0.924,0.914
5701.0,0.69,0.924,0.957,0.923,0.909
5801.0,0.735,0.922,0.956,0.915,0.905
5901.0,0.698,0.914,0.956,0.919,0.916
6001.0,0.709,0.924,0.955,0.916,0.915
6101.0,0.732,0.916,0.953,0.918,0.921
6201.0,0.735,0.917,0.952,0.919,0.915
6301.0,0.715,0.923,0.95,0.928,0.909
6401.0,0.742,0.932,0.953,0.921,0.909
6501.0,0.747,0.939,0.954,0.929,0.894
6601.0,0.755,0.919,0.956,0.922,0.896
6701.0,0.74,0.937,0.953,0.927,0.904
6801.0,0.761,0.927,0.952,0.927,0.899
6901.0,0.746,0.926,0.95,0.927,0.9
7001.0,0.734,0.937,0.95,0.936,0.9
7101.0,0.762,0.933,0.953,0.941,0.9
7201.0,0.762,0.922,0.95,0.926,0.907
7301.0,0.773,0.929,0.95,0.932,0.906
7401.0,0.795,0.933,0.953,0.931,0.916
7501.0,0.779,0.937,0.951,0.92,0.91
7601.0,0.767,0.942,0.952,0.922,0.912
7701.0,0.773,0.929,0.954,0.917,0.914
7801.0,0.758,0.933,0.954,0.927,0.92
7901.0,0.778,0.932,0.956,0.932,0.921
8001.0,0.789,0.943,0.954,0.924,0.908
8101.0,0.782,0.936,0.954,0.939,0.907
8201.0,0.786,0.937,0.953,0.929,0.908
8301.0,0.775,0.939,0.954,0.927,0.909
8401.0,0.764,0.943,0.956,0.938,0.915
8501.0,0.781,0.941,0.957,0.928,0.92
8601.0,0.792,0.931,0.957,0.924,0.92
8701.0,0.78,0.938,0.955,0.928,0.918
8801.0,0.797,0.942,0.955,0.927,0.913
8901.0,0.785,0.932,0.955,0.938,0.914
9001.0,0.805,0.937,0.953,0.937,0.922
9101.0,0.804,0.938,0.955,0.94,0.915
9201.0,0.81,0.936,0.953,0.94,0.91
9301.0,0.808,0.932,0.952,0.942,0.915
9401.0,0.796,0.942,0.955,0.94,0.921
9501.0,0.807,0.939,0.955,0.933,0.918
9601.0,0.817,0.928,0.955,0.932,0.914
9701.0,0.802,0.933,0.956,0.933,0.915
9801.0,0.806,0.94,0.958,0.934,0.903
9901.0,0.799,0.938,0.954,0.935,0.912
10001.0,0.049,0.055,0.037,0.037,0.065
10101.0,0.229,0.059,0.236,0.37,0.318
10201.0,0.262,0.066,0.301,0.485,0.515
10301.0,0.281,0.065,0.336,0.567,0.618
10401.0,0.297,0.068,0.376,0.588,0.675
10501.0,0.31,0.079,0.406,0.632,0.725
10601.0,0.324,0.083,0.441,0.645,0.759
10701.0,0.337,0.098,0.485,0.68,0.774
10801.0,0.313,0.108,0.506,0.692,0.802
10901.0,0.329,0.127,0.526,0.72,0.807
11001.0,0.332,0.147,0.543,0.737,0.816
11101.0,0.336,0.165,0.561,0.747,0.841
11201.0,0.338,0.198,0.586,0.751,0.851
11301.0,0.336,0.213,0.596,0.755,0.845
11401.0,0.347,0.231,0.609,0.769,0.86
11501.0,0.355,0.263,0.623,0.778,0.85
11601.0,0.35,0.276,0.635,0.779,0.856
11701.0,0.351,0.291,0.646,0.775,0.861
11801.0,0.359,0.311,0.647,0.797,0.86
11901.0,0.363,0.34,0.655,0.799,0.862
12001.0,0.365,0.341,0.665,0.806,0.876
12101.0,0.371,0.363,0.675,0.812,0.872
12201.0,0.375,0.37,0.68,0.815,0.885
12301.0,0.366,0.387,0.693,0.812,0.885
12401.0,0.375,0.408,0.698,0.818,0.889
12501.0,0.378,0.418,0.711,0.826,0.89
12601.0,0.371,0.42,0.715,0.82,0.893
12701.0,0.384,0.431,0.728,0.817,0.906
12801.0,0.389,0.444,0.732,0.822,0.909
12901.0,0.381,0.461,0.742,0.827,0.91
13001.0,0.377,0.471,0.74,0.829,0.902
13101.0,0.388,0.47,0.751,0.825,0.919
13201.0,0.382,0.486,0.755,0.833,0.915
13301.0,0.385,0.502,0.765,0.841,0.909
13401.0,0.399,0.507,0.77,0.835,0.91
13501.0,0.403,0.519,0.775,0.844,0.909
13601.0,0.397,0.53,0.783,0.844,0.91
13701.0,0.4,0.534,0.786,0.846,0.911
13801.0,0.405,0.546,0.789,0.845,0.903
13901.0,0.399,0.55,0.801,0.841,0.908
14001.0,0.398,0.55,0.807,0.847,0.91
14101.0,0.407,0.562,0.812,0.847,0.918
14201.0,0.402,0.564,0.819,0.849,0.915
14301.0,0.413,0.576,0.818,0.846,0.914
14401.0,0.425,0.583,0.813,0.843,0.914
14501.0,0.412,0.582,0.818,0.85,0.914
14601.0,0.419,0.579,0.824,0.851,0.917
14701.0,0.422,0.594,0.833,0.845,0.909
14801.0,0.419,0.593,0.832,0.84,0.905
14901.0,0.424,0.601,0.835,0.845,0.916
15001.0,0.422,0.613,0.837,0.847,0.915
15101.0,0.42,0.615,0.84,0.849,0.917
15201.0,0.42,0.621,0.844,0.844,0.925
15301.0,0.426,0.616,0.848,0.853,0.927
15401.0,0.414,0.619,0.85,0.851,0.916
15501.0,0.42,0.632,0.849,0.854,0.927
15601.0,0.429,0.632,0.852,0.85,0.921
15701.0,0.433,0.636,0.85,0.845,0.921
15801.0,0.425,0.634,0.854,0.856,0.913
15901.0,0.435,0.631,0.854,0.852,0.915
16001.0,0.439,0.645,0.852,0.863,0.925
16101.0,0.427,0.646,0.856,0.863,0.916
