step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
1.0,0.06,0.045,0.035,0.041,0.056
2.0,0.052,0.055,0.051,0.054,0.063
3.0,0.048,0.066,0.075,0.062,0.041
4.0,0.049,0.046,0.096,0.054,0.035
5.0,0.043,0.064,0.111,0.059,0.043
6.0,0.05,0.053,0.134,0.052,0.058
7.0,0.051,0.074,0.142,0.059,0.056
8.0,0.05,0.075,0.149,0.06,0.044
9.0,0.051,0.072,0.16,0.064,0.051
10.0,0.044,0.065,0.168,0.072,0.06
11.0,0.052,0.065,0.171,0.083,0.065
12.0,0.052,0.072,0.181,0.09,0.066
13.0,0.054,0.08,0.193,0.1,0.081
14.0,0.045,0.085,0.209,0.104,0.076
15.0,0.047,0.086,0.21,0.104,0.074
16.0,0.045,0.081,0.223,0.108,0.086
17.0,0.051,0.09,0.233,0.115,0.09
18.0,0.053,0.077,0.242,0.127,0.103
19.0,0.046,0.092,0.25,0.127,0.115
20.0,0.058,0.102,0.257,0.134,0.129
21.0,0.105,0.088,0.27,0.136,0.134
22.0,0.088,0.103,0.283,0.144,0.137
23.0,0.096,0.116,0.291,0.152,0.151
24.0,0.103,0.119,0.303,0.16,0.156
25.0,0.1,0.111,0.305,0.161,0.171
26.0,0.112,0.112,0.308,0.168,0.176
27.0,0.086,0.121,0.317,0.178,0.186
28.0,0.076,0.128,0.322,0.181,0.194
29.0,0.074,0.136,0.32,0.191,0.198
30.0,0.044,0.123,0.337,0.192,0.209
31.0,0.034,0.147,0.342,0.194,0.212
32.0,0.023,0.156,0.351,0.192,0.216
33.0,0.012,0.143,0.359,0.196,0.23
34.0,0.012,0.156,0.36,0.203,0.239
35.0,0.009,0.17,0.366,0.208,0.246
36.0,0.004,0.17,0.372,0.218,0.253
37.0,0.006,0.173,0.383,0.22,0.266
38.0,0.007,0.192,0.393,0.216,0.278
39.0,0.007,0.175,0.398,0.223,0.29
40.0,0.002,0.186,0.406,0.228,0.299
41.0,0.163,0.185,0.412,0.237,0.303
42.0,0.13,0.201,0.416,0.246,0.3
43.0,0.143,0.198,0.418,0.252,0.31
44.0,0.144,0.204,0.421,0.259,0.318
45.0,0.119,0.23,0.426,0.262,0.322
46.0,0.078,0.208,0.431,0.264,0.334
47.0,0.052,0.217,0.446,0.265,0.339
48.0,0.034,0.238,0.446,0.27,0.343
49.0,0.027,0.231,0.454,0.28,0.349
50.0,0.01,0.231,0.467,0.279,0.36
51.0,0.023,0.228,0.473,0.284,0.367
52.0,0.038,0.277,0.48,0.294,0.375
53.0,0.064,0.256,0.489,0.293,0.379
54.0,0.094,0.25,0.499,0.302,0.387
55.0,0.105,0.285,0.498,0.306,0.394
56.0,0.142,0.267,0.5,0.314,0.409
57.0,0.126,0.282,0.508,0.326,0.415
58.0,0.128,0.288,0.512,0.329,0.419
59.0,0.121,0.282,0.516,0.33,0.423
60.0,0.098,0.283,0.52,0.331,0.423
61.0,0.12,0.288,0.521,0.344,0.422
62.0,0.087,0.32,0.526,0.353,0.427
63.0,0.09,0.291,0.528,0.365,0.432
64.0,0.087,0.293,0.526,0.365,0.438
65.0,0.102,0.312,0.537,0.369,0.439
66.0,0.099,0.32,0.54,0.374,0.449
67.0,0.085,0.331,0.546,0.376,0.454
68.0,0.092,0.313,0.544,0.374,0.462
69.0,0.079,0.331,0.544,0.375,0.472
70.0,0.095,0.34,0.548,0.381,0.477
71.0,0.097,0.335,0.554,0.374,0.481
72.0,0.079,0.343,0.557,0.377,0.482
73.0,0.097,0.343,0.56,0.388,0.487
74.0,0.082,0.346,0.563,0.393,0.488
75.0,0.086,0.327,0.573,0.392,0.49
76.0,0.102,0.367,0.572,0.397,0.485
77.0,0.087,0.363,0.574,0.403,0.49
78.0,0.104,0.33,0.578,0.41,0.499
79.0,0.12,0.344,0.576,0.413,0.507
80.0,0.102,0.359,0.582,0.42,0.517
81.0,0.117,0.365,0.585,0.416,0.517
82.0,0.105,0.383,0.591,0.414,0.517
83.0,0.102,0.392,0.587,0.42,0.516
84.0,0.095,0.377,0.587,0.423,0.52
85.0,0.101,0.404,0.586,0.435,0.525
86.0,0.094,0.406,0.588,0.441,0.525
87.0,0.12,0.391,0.586,0.443,0.523
88.0,0.11,0.406,0.584,0.446,0.522
89.0,0.101,0.398,0.586,0.437,0.525
90.0,0.095,0.413,0.59,0.444,0.53
91.0,0.098,0.426,0.594,0.451,0.533
92.0,0.107,0.397,0.592,0.454,0.539
93.0,0.11,0.418,0.595,0.456,0.541
94.0,0.104,0.431,0.596,0.456,0.545
95.0,0.102,0.421,0.597,0.462,0.548
96.0,0.114,0.405,0.603,0.466,0.541
97.0,0.106,0.435,0.607,0.464,0.543
98.0,0.103,0.43,0.606,0.465,0.547
99.0,0.109,0.449,0.606,0.463,0.552
100.0,0.119,0.437,0.611,0.464,0.553
101.0,0.123,0.422,0.611,0.466,0.557
102.0,0.114,0.418,0.608,0.47,0.558
103.0,0.111,0.445,0.605,0.47,0.564
104.0,0.104,0.435,0.604,0.47,0.563
105.0,0.122,0.457,0.603,0.468,0.565
106.0,0.117,0.439,0.609,0.471,0.571
107.0,0.121,0.439,0.609,0.466,0.577
108.0,0.127,0.462,0.614,0.466,0.579
109.0,0.108,0.447,0.614,0.462,0.577
110.0,0.103,0.469,0.613,0.461,0.579
111.0,0.108,0.451,0.619,0.465,0.58
112.0,0.149,0.474,0.621,0.459,0.589
113.0,0.12,0.481,0.625,0.46,0.587
114.0,0.118,0.462,0.624,0.465,0.586
115.0,0.125,0.457,0.624,0.464,0.591
116.0,0.102,0.473,0.627,0.473,0.59
117.0,0.126,0.465,0.627,0.47,0.593
118.0,0.115,0.468,0.63,0.466,0.594
119.0,0.135,0.489,0.634,0.468,0.602
120.0,0.125,0.462,0.633,0.465,0.6
121.0,0.128,0.49,0.625,0.466,0.601
