step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
1.0,0.06,0.045,0.035,0.041,0.056
101.0,0.123,0.422,0.611,0.466,0.557
201.0,0.095,0.582,0.723,0.493,0.703
301.0,0.151,0.653,0.755,0.551,0.756
401.0,0.12,0.684,0.791,0.611,0.791
501.0,0.148,0.721,0.822,0.666,0.806
601.0,0.163,0.735,0.829,0.693,0.842
701.0,0.218,0.755,0.845,0.711,0.849
801.0,0.195,0.76,0.85,0.728,0.859
901.0,0.233,0.758,0.863,0.742,0.871
1001.0,0.231,0.784,0.883,0.757,0.871
1101.0,0.26,0.775,0.879,0.761,0.881
1201.0,0.278,0.773,0.883,0.8,0.886
1301.0,0.254,0.783,0.886,0.815,0.888
1401.0,0.336,0.786,0.893,0.821,0.887
1501.0,0.331,0.796,0.882,0.828,0.881
1601.0,0.346,0.8,0.894,0.841,0.884
1701.0,0.351,0.816,0.892,0.844,0.888
1801.0,0.346,0.814,0.888,0.846,0.884
1901.0,0.405,0.802,0.881,0.842,0.882
2001.0,0.388,0.803,0.878,0.857,0.899
2101.0,0.431,0.803,0.88,0.855,0.896
2201.0,0.421,0.802,0.885,0.852,0.891
2301.0,0.432,0.813,0.892,0.838,0.882
2401.0,0.433,0.806,0.89,0.844,0.887
2501.0,0.48,0.785,0.884,0.852,0.886
2601.0,0.481,0.789,0.881,0.849,0.878
2701.0,0.497,0.802,0.886,0.86,0.884
2801.0,0.506,0.78,0.887,0.846,0.867
2901.0,0.495,0.797,0.885,0.855,0.869
3001.0,0.49,0.794,0.873,0.862,0.87
3101.0,0.505,0.8,0.88,0.855,0.874
3201.0,0.525,0.797,0.874,0.865,0.876
3301.0,0.513,0.799,0.88,0.862,0.877
3401.0,0.518,0.785,0.885,0.862,0.881
3501.0,0.525,0.776,0.89,0.855,0.874
3601.0,0.551,0.797,0.881,0.838,0.871
3701.0,0.54,0.785,0.884,0.835,0.878
3801.0,0.544,0.787,0.883,0.853,0.881
3901.0,0.566,0.782,0.899,0.847,0.891
4001.0,0.556,0.783,0.889,0.858,0.882
4101.0,0.566,0.774,0.895,0.855,0.888
4201.0,0.584,0.764,0.89,0.86,0.883
4301.0,0.556,0.773,0.89,0.855,0.874
4401.0,0.562,0.775,0.888,0.861,0.874
4501.0,0.569,0.786,0.889,0.855,0.867
4601.0,0.578,0.783,0.891,0.855,0.883
4701.0,0.577,0.778,0.893,0.851,0.888
4801.0,0.574,0.781,0.893,0.847,0.883
4901.0,0.581,0.775,0.886,0.857,0.891
5001.0,0.569,0.775,0.892,0.862,0.887
5101.0,0.576,0.775,0.89,0.866,0.892
5201.0,0.584,0.775,0.882,0.875,0.882
5301.0,0.596,0.768,0.888,0.848,0.88
5401.0,0.575,0.753,0.889,0.842,0.87
5501.0,0.579,0.757,0.889,0.853,0.875
5601.0,0.579,0.761,0.885,0.858,0.88
5701.0,0.603,0.752,0.893,0.853,0.881
5801.0,0.599,0.736,0.881,0.856,0.892
5901.0,0.595,0.757,0.884,0.85,0.89
6001.0,0.603,0.746,0.885,0.847,0.892
6101.0,0.593,0.756,0.881,0.852,0.895
6201.0,0.586,0.757,0.888,0.846,0.899
6301.0,0.592,0.745,0.887,0.854,0.895
6401.0,0.588,0.753,0.886,0.852,0.888
6501.0,0.58,0.739,0.883,0.842,0.883
6601.0,0.584,0.754,0.886,0.859,0.889
6701.0,0.587,0.753,0.886,0.855,0.887
6801.0,0.592,0.746,0.887,0.854,0.89
6901.0,0.581,0.738,0.882,0.86,0.885
7001.0,0.582,0.751,0.886,0.863,0.882
7101.0,0.577,0.737,0.887,0.857,0.881
7201.0,0.588,0.738,0.885,0.862,0.884
7301.0,0.581,0.739,0.881,0.862,0.875
7401.0,0.595,0.741,0.884,0.856,0.877
7501.0,0.589,0.734,0.874,0.847,0.88
7601.0,0.596,0.733,0.878,0.846,0.878
7701.0,0.597,0.72,0.887,0.852,0.871
7801.0,0.6,0.733,0.883,0.857,0.871
7901.0,0.593,0.734,0.884,0.853,0.871
8001.0,0.58,0.722,0.889,0.855,0.882
8101.0,0.598,0.723,0.884,0.851,0.874
8201.0,0.59,0.722,0.876,0.846,0.875
8301.0,0.591,0.721,0.869,0.848,0.881
8401.0,0.577,0.715,0.869,0.847,0.882
