step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
1.0,0.042,0.053,0.057,0.046,0.051
101.0,0.118,0.434,0.6,0.423,0.555
201.0,0.079,0.594,0.72,0.485,0.68
301.0,0.154,0.656,0.796,0.549,0.758
401.0,0.141,0.686,0.807,0.59,0.789
501.0,0.136,0.73,0.836,0.645,0.814
601.0,0.16,0.754,0.848,0.69,0.818
701.0,0.196,0.757,0.865,0.705,0.841
801.0,0.21,0.78,0.875,0.753,0.855
901.0,0.223,0.786,0.883,0.767,0.858
1001.0,0.25,0.82,0.892,0.79,0.869
1101.0,0.258,0.817,0.885,0.793,0.877
1201.0,0.306,0.833,0.901,0.808,0.883
1301.0,0.309,0.823,0.902,0.829,0.871
1401.0,0.314,0.838,0.901,0.845,0.886
1501.0,0.336,0.839,0.91,0.864,0.881
1601.0,0.346,0.847,0.921,0.859,0.893
1701.0,0.36,0.847,0.927,0.857,0.891
1801.0,0.396,0.861,0.921,0.871,0.899
1901.0,0.425,0.855,0.932,0.881,0.906
2001.0,0.42,0.857,0.938,0.876,0.905
2101.0,0.41,0.856,0.94,0.878,0.905
2201.0,0.438,0.861,0.94,0.877,0.91
2301.0,0.436,0.862,0.94,0.896,0.904
2401.0,0.447,0.864,0.94,0.881,0.906
2501.0,0.487,0.879,0.939,0.892,0.903
2601.0,0.469,0.872,0.945,0.892,0.893
2701.0,0.498,0.869,0.94,0.897,0.901
2801.0,0.504,0.902,0.94,0.906,0.911
2901.0,0.528,0.875,0.946,0.898,0.905
3001.0,0.542,0.897,0.945,0.902,0.907
3101.0,0.539,0.89,0.945,0.907,0.91
3201.0,0.547,0.904,0.943,0.915,0.909
3301.0,0.584,0.892,0.942,0.917,0.913
3401.0,0.554,0.889,0.943,0.92,0.917
3501.0,0.58,0.888,0.948,0.926,0.911
3601.0,0.562,0.907,0.949,0.92,0.914
3701.0,0.598,0.894,0.951,0.933,0.907
3801.0,0.618,0.898,0.95,0.923,0.896
3901.0,0.63,0.905,0.953,0.925,0.917
4001.0,0.629,0.908,0.955,0.919,0.914
4101.0,0.628,0.898,0.955,0.928,0.91
4201.0,0.625,0.908,0.956,0.923,0.913
4301.0,0.645,0.902,0.953,0.917,0.914
4401.0,0.647,0.908,0.955,0.939,0.922
4501.0,0.653,0.908,0.957,0.932,0.914
4601.0,0.647,0.912,0.958,0.931,0.917
4701.0,0.645,0.927,0.96,0.924,0.917
4801.0,0.655,0.913,0.959,0.93,0.91
4901.0,0.656,0.903,0.963,0.938,0.915
5001.0,0.671,0.912,0.962,0.93,0.914
5101.0,0.681,0.919,0.962,0.932,0.914
5201.0,0.669,0.917,0.963,0.928,0.912
5301.0,0.694,0.907,0.965,0.926,0.915
5401.0,0.707,0.902,0.965,0.937,0.922
5501.0,0.71,0.902,0.966,0.93,0.925
5601.0,0.711,0.914,0.964,0.927,0.918
5701.0,0.717,0.907,0.961,0.935,0.911
5801.0,0.711,0.92,0.96,0.934,0.906
5901.0,0.711,0.928,0.965,0.942,0.917
6001.0,0.736,0.923,0.96,0.927,0.915
6101.0,0.722,0.931,0.963,0.925,0.915
6201.0,0.73,0.923,0.96,0.925,0.917
6301.0,0.724,0.924,0.963,0.941,0.909
6401.0,0.746,0.922,0.962,0.936,0.905
6501.0,0.754,0.92,0.964,0.94,0.907
6601.0,0.774,0.928,0.964,0.937,0.912
6701.0,0.74,0.935,0.964,0.935,0.911
6801.0,0.724,0.913,0.966,0.934,0.918
6901.0,0.753,0.925,0.967,0.939,0.914
7001.0,0.74,0.934,0.966,0.936,0.911
7101.0,0.759,0.928,0.97,0.93,0.925
7201.0,0.748,0.924,0.97,0.936,0.921
7301.0,0.738,0.919,0.971,0.936,0.927
7401.0,0.762,0.923,0.974,0.937,0.93
7501.0,0.758,0.925,0.973,0.929,0.923
7601.0,0.775,0.931,0.974,0.925,0.923
7701.0,0.765,0.928,0.976,0.924,0.927
7801.0,0.762,0.931,0.975,0.929,0.926
7901.0,0.783,0.926,0.976,0.931,0.922
8001.0,0.779,0.923,0.976,0.927,0.919
8101.0,0.774,0.923,0.976,0.935,0.922
8201.0,0.779,0.927,0.975,0.928,0.926
8301.0,0.785,0.916,0.977,0.933,0.936
8401.0,0.798,0.915,0.976,0.931,0.924
8501.0,0.792,0.936,0.975,0.922,0.926
8601.0,0.777,0.919,0.971,0.93,0.935
8701.0,0.796,0.945,0.97,0.928,0.934
8801.0,0.794,0.922,0.971,0.932,0.923
8901.0,0.812,0.935,0.976,0.928,0.921
9001.0,0.837,0.923,0.973,0.925,0.923
9101.0,0.815,0.931,0.974,0.919,0.917
9201.0,0.825,0.937,0.971,0.928,0.923
9301.0,0.803,0.933,0.974,0.927,0.927
9401.0,0.797,0.934,0.972,0.917,0.93
9501.0,0.804,0.921,0.976,0.916,0.927
9601.0,0.805,0.939,0.977,0.927,0.933
9701.0,0.818,0.933,0.976,0.92,0.928
9801.0,0.819,0.939,0.974,0.926,0.93
9901.0,0.817,0.944,0.975,0.927,0.931
10001.0,0.803,0.94,0.976,0.919,0.933
10101.0,0.823,0.941,0.978,0.927,0.93
10201.0,0.803,0.938,0.975,0.923,0.932
10301.0,0.819,0.927,0.975,0.927,0.935
10401.0,0.802,0.942,0.974,0.925,0.933
10501.0,0.805,0.937,0.973,0.923,0.932
10601.0,0.826,0.945,0.97,0.922,0.916
10701.0,0.834,0.938,0.973,0.923,0.918
10801.0,0.822,0.94,0.973,0.924,0.923
10901.0,0.838,0.936,0.974,0.925,0.918
11001.0,0.84,0.932,0.975,0.923,0.92
11101.0,0.828,0.938,0.975,0.921,0.916
11201.0,0.827,0.935,0.976,0.92,0.92
11301.0,0.834,0.942,0.976,0.94,0.913
11401.0,0.828,0.928,0.976,0.931,0.921
11501.0,0.823,0.94,0.979,0.938,0.916
11601.0,0.835,0.933,0.983,0.938,0.921
11701.0,0.836,0.937,0.982,0.935,0.915
11801.0,0.842,0.945,0.982,0.935,0.916
11901.0,0.839,0.941,0.983,0.928,0.916
12001.0,0.831,0.94,0.982,0.932,0.922
12101.0,0.851,0.943,0.982,0.928,0.921
12201.0,0.837,0.942,0.983,0.932,0.917
12301.0,0.847,0.943,0.984,0.929,0.911
12401.0,0.847,0.941,0.982,0.935,0.915
12501.0,0.842,0.939,0.983,0.917,0.919
12601.0,0.864,0.945,0.982,0.917,0.918
12701.0,0.845,0.95,0.979,0.928,0.924
12801.0,0.847,0.941,0.978,0.925,0.922
12901.0,0.863,0.932,0.982,0.929,0.926
13001.0,0.86,0.943,0.98,0.923,0.921
13101.0,0.86,0.933,0.979,0.924,0.917
13201.0,0.834,0.94,0.979,0.922,0.917
13301.0,0.857,0.936,0.98,0.931,0.923
13401.0,0.857,0.941,0.979,0.931,0.922
13501.0,0.868,0.935,0.981,0.932,0.929
13601.0,0.86,0.94,0.98,0.931,0.932
13701.0,0.866,0.94,0.981,0.923,0.935
13801.0,0.862,0.94,0.981,0.929,0.923
13901.0,0.875,0.941,0.982,0.926,0.929
14001.0,0.848,0.945,0.98,0.921,0.929
14101.0,0.864,0.939,0.98,0.931,0.92
14201.0,0.871,0.938,0.98,0.928,0.92
14301.0,0.857,0.943,0.979,0.938,0.925
14401.0,0.889,0.953,0.979,0.938,0.928
14501.0,0.876,0.939,0.978,0.937,0.934
14601.0,0.872,0.936,0.979,0.931,0.925
14701.0,0.861,0.935,0.98,0.934,0.924
14801.0,0.872,0.943,0.979,0.945,0.928
14901.0,0.87,0.947,0.979,0.935,0.927
15001.0,0.851,0.937,0.979,0.935,0.922
15101.0,0.877,0.937,0.98,0.937,0.918
15201.0,0.865,0.944,0.981,0.943,0.922
15301.0,0.865,0.95,0.98,0.939,0.926
15401.0,0.855,0.945,0.982,0.93,0.92
15501.0,0.87,0.952,0.979,0.922,0.924
15601.0,0.887,0.946,0.978,0.922,0.918
15701.0,0.879,0.94,0.979,0.926,0.918
15801.0,0.872,0.945,0.981,0.928,0.915
15901.0,0.869,0.959,0.983,0.929,0.915
16001.0,0.898,0.947,0.981,0.928,0.916
16101.0,0.883,0.952,0.981,0.932,0.925
16201.0,0.878,0.941,0.979,0.931,0.927
16301.0,0.875,0.947,0.979,0.928,0.921
16401.0,0.877,0.944,0.98,0.93,0.913
16501.0,0.88,0.952,0.982,0.93,0.926
16601.0,0.883,0.954,0.983,0.931,0.928
16701.0,0.889,0.949,0.987,0.926,0.934
16801.0,0.877,0.948,0.984,0.938,0.933
16901.0,0.87,0.938,0.982,0.935,0.938
17001.0,0.87,0.945,0.983,0.928,0.927
17101.0,0.889,0.943,0.981,0.924,0.935
17201.0,0.896,0.952,0.982,0.935,0.926
17301.0,0.876,0.943,0.981,0.93,0.915
17401.0,0.895,0.944,0.981,0.931,0.921
17501.0,0.893,0.954,0.981,0.923,0.92
17601.0,0.88,0.954,0.981,0.936,0.921
17701.0,0.88,0.948,0.98,0.924,0.926
17801.0,0.897,0.954,0.98,0.938,0.924
17901.0,0.881,0.952,0.98,0.919,0.925
18001.0,0.9,0.948,0.979,0.929,0.93
18101.0,0.889,0.95,0.979,0.936,0.93
18201.0,0.884,0.957,0.982,0.932,0.922
18301.0,0.905,0.947,0.983,0.927,0.923
18401.0,0.893,0.95,0.984,0.931,0.927
18501.0,0.888,0.948,0.985,0.933,0.933
18601.0,0.884,0.956,0.986,0.922,0.926
18701.0,0.903,0.952,0.982,0.925,0.929
18801.0,0.895,0.946,0.981,0.923,0.923
18901.0,0.894,0.95,0.981,0.92,0.919
19001.0,0.893,0.949,0.983,0.922,0.922
19101.0,0.896,0.956,0.983,0.925,0.92
19201.0,0.882,0.958,0.981,0.921,0.919
19301.0,0.887,0.95,0.982,0.917,0.923
19401.0,0.901,0.957,0.982,0.919,0.925
19501.0,0.897,0.948,0.982,0.916,0.929
19601.0,0.901,0.948,0.982,0.92,0.921
19701.0,0.896,0.944,0.982,0.914,0.929
19801.0,0.895,0.957,0.982,0.912,0.921
19901.0,0.878,0.955,0.982,0.914,0.927
20001.0,0.888,0.951,0.98,0.913,0.921
20101.0,0.895,0.948,0.98,0.925,0.919
20201.0,0.883,0.948,0.98,0.919,0.931
20301.0,0.881,0.95,0.979,0.922,0.919
20401.0,0.908,0.946,0.979,0.924,0.919
20501.0,0.898,0.952,0.979,0.92,0.917
20601.0,0.902,0.952,0.98,0.925,0.914
20701.0,0.907,0.951,0.98,0.923,0.917
20801.0,0.92,0.949,0.98,0.917,0.916
20901.0,0.901,0.953,0.979,0.928,0.919
21001.0,0.908,0.954,0.978,0.923,0.927
21101.0,0.913,0.96,0.977,0.927,0.926
21201.0,0.901,0.957,0.977,0.928,0.921
21301.0,0.882,0.948,0.978,0.926,0.92
21401.0,0.9,0.955,0.978,0.924,0.926
21501.0,0.904,0.953,0.977,0.927,0.92
21601.0,0.893,0.953,0.976,0.926,0.909
21701.0,0.901,0.94,0.976,0.932,0.913
21801.0,0.907,0.954,0.977,0.928,0.919
21901.0,0.9,0.952,0.975,0.927,0.917
22001.0,0.898,0.948,0.977,0.922,0.918
22101.0,0.897,0.941,0.977,0.925,0.92
22201.0,0.905,0.956,0.977,0.935,0.923
22301.0,0.91,0.951,0.98,0.92,0.917
22401.0,0.893,0.956,0.98,0.917,0.923
22501.0,0.896,0.953,0.978,0.924,0.926
22601.0,0.901,0.956,0.98,0.929,0.918
22701.0,0.895,0.953,0.978,0.925,0.922
22801.0,0.91,0.952,0.978,0.928,0.916
22901.0,0.909,0.947,0.978,0.923,0.92
23001.0,0.918,0.954,0.978,0.915,0.908
23101.0,0.911,0.957,0.979,0.917,0.916
23201.0,0.915,0.949,0.979,0.921,0.911
23301.0,0.908,0.961,0.98,0.924,0.926
23401.0,0.911,0.961,0.981,0.933,0.922
23501.0,0.906,0.958,0.983,0.922,0.92
23601.0,0.903,0.957,0.984,0.917,0.931
23701.0,0.923,0.953,0.983,0.914,0.921
23801.0,0.914,0.957,0.982,0.92,0.927
23901.0,0.904,0.949,0.983,0.916,0.916
24001.0,0.906,0.952,0.981,0.911,0.918
24101.0,0.909,0.953,0.981,0.925,0.921
24201.0,0.918,0.957,0.979,0.914,0.911
24301.0,0.913,0.95,0.981,0.917,0.914
24401.0,0.905,0.954,0.981,0.917,0.915
24501.0,0.919,0.961,0.981,0.917,0.915
24601.0,0.919,0.952,0.982,0.92,0.917
24701.0,0.919,0.958,0.981,0.918,0.917
24801.0,0.924,0.962,0.98,0.921,0.927
24901.0,0.925,0.949,0.981,0.925,0.931
25001.0,0.913,0.946,0.98,0.922,0.924
25101.0,0.912,0.954,0.982,0.914,0.927
25201.0,0.918,0.955,0.982,0.923,0.913
25301.0,0.917,0.966,0.982,0.925,0.924
25401.0,0.923,0.963,0.981,0.928,0.919
25501.0,0.924,0.959,0.983,0.921,0.925
25601.0,0.909,0.953,0.983,0.921,0.922
25701.0,0.914,0.961,0.985,0.924,0.927
25801.0,0.922,0.959,0.983,0.929,0.923
25901.0,0.914,0.958,0.983,0.922,0.922
26001.0,0.913,0.954,0.986,0.927,0.925
26101.0,0.909,0.962,0.986,0.928,0.933
26201.0,0.918,0.959,0.986,0.917,0.926
26301.0,0.903,0.955,0.985,0.93,0.937
26401.0,0.914,0.96,0.985,0.923,0.94
26501.0,0.911,0.959,0.984,0.924,0.93
26601.0,0.917,0.963,0.984,0.929,0.93
26701.0,0.918,0.964,0.984,0.923,0.927
26801.0,0.912,0.961,0.984,0.927,0.93
26901.0,0.92,0.966,0.983,0.928,0.93
27001.0,0.903,0.952,0.983,0.931,0.927
27101.0,0.907,0.96,0.986,0.932,0.931
27201.0,0.924,0.962,0.987,0.923,0.923
27301.0,0.922,0.96,0.985,0.927,0.927
27401.0,0.925,0.965,0.984,0.927,0.923
27501.0,0.935,0.955,0.984,0.924,0.921
27601.0,0.93,0.959,0.983,0.938,0.922
27701.0,0.923,0.964,0.983,0.924,0.925
27801.0,0.931,0.962,0.983,0.931,0.923
27901.0,0.918,0.964,0.983,0.935,0.926
28001.0,0.931,0.962,0.984,0.935,0.922
28101.0,0.921,0.961,0.984,0.933,0.921
28201.0,0.925,0.955,0.982,0.927,0.924
28301.0,0.903,0.957,0.983,0.934,0.919
28401.0,0.92,0.955,0.983,0.925,0.924
28501.0,0.929,0.958,0.983,0.924,0.923
28601.0,0.912,0.966,0.983,0.915,0.923
28701.0,0.921,0.966,0.984,0.923,0.921
28801.0,0.919,0.956,0.984,0.929,0.919
28901.0,0.927,0.956,0.984,0.921,0.919
29001.0,0.916,0.964,0.985,0.929,0.912
29101.0,0.931,0.969,0.985,0.927,0.913
29201.0,0.931,0.963,0.984,0.932,0.902
29301.0,0.921,0.965,0.986,0.918,0.91
29401.0,0.924,0.959,0.988,0.938,0.92
29501.0,0.923,0.958,0.988,0.935,0.913
29601.0,0.918,0.965,0.988,0.929,0.91
29701.0,0.924,0.959,0.988,0.928,0.915
29801.0,0.914,0.971,0.988,0.928,0.913
29901.0,0.917,0.965,0.988,0.922,0.92
30001.0,0.92,0.959,0.988,0.912,0.913
30101.0,0.925,0.962,0.988,0.926,0.921
30201.0,0.93,0.961,0.989,0.93,0.915
30301.0,0.936,0.96,0.988,0.924,0.909
30401.0,0.933,0.959,0.99,0.912,0.917
30501.0,0.934,0.96,0.987,0.916,0.915
30601.0,0.937,0.959,0.987,0.915,0.913
30701.0,0.92,0.961,0.986,0.927,0.912
30801.0,0.916,0.973,0.986,0.93,0.91
30901.0,0.91,0.968,0.987,0.925,0.913
31001.0,0.915,0.97,0.986,0.92,0.916
31101.0,0.924,0.968,0.987,0.927,0.914
31201.0,0.929,0.968,0.986,0.925,0.923
31301.0,0.94,0.956,0.986,0.925,0.91
31401.0,0.932,0.972,0.985,0.94,0.916
31501.0,0.929,0.962,0.987,0.929,0.915
31601.0,0.933,0.959,0.986,0.934,0.916
31701.0,0.921,0.967,0.986,0.931,0.92
31801.0,0.937,0.964,0.987,0.933,0.921
31901.0,0.929,0.968,0.986,0.937,0.908
32001.0,0.936,0.967,0.987,0.926,0.91
32101.0,0.93,0.964,0.987,0.927,0.913
32201.0,0.939,0.973,0.987,0.924,0.911
32301.0,0.941,0.971,0.987,0.928,0.915
32401.0,0.936,0.968,0.989,0.931,0.908
32501.0,0.944,0.963,0.988,0.937,0.909
32601.0,0.931,0.964,0.989,0.928,0.911
32701.0,0.924,0.964,0.988,0.922,0.916
32801.0,0.928,0.97,0.987,0.928,0.916
32901.0,0.92,0.968,0.987,0.928,0.913
33001.0,0.927,0.96,0.987,0.933,0.908
33101.0,0.927,0.966,0.988,0.923,0.911
33201.0,0.932,0.965,0.989,0.935,0.908
33301.0,0.926,0.968,0.988,0.928,0.911
33401.0,0.936,0.967,0.986,0.93,0.914
33501.0,0.936,0.967,0.986,0.939,0.922
33601.0,0.926,0.965,0.985,0.939,0.918
33701.0,0.938,0.967,0.985,0.936,0.91
33801.0,0.93,0.966,0.985,0.929,0.913
33901.0,0.928,0.96,0.985,0.934,0.907
34001.0,0.945,0.964,0.986,0.932,0.904
34101.0,0.923,0.971,0.985,0.939,0.902
